iter	Passed	Remaining
804	967	234
805	968	233
806	969	231
807	971	230
808	972	229
809	973	228
810	974	227
811	975	225
812	976	224
813	977	223
814	977	221
815	978	220
816	979	219
817	980	218
818	980	216
819	982	215
820	983	214
821	984	213
822	985	211
823	986	210
824	986	209
825	987	208
826	988	206
827	989	205
828	990	204
829	991	202
830	991	201
831	992	200
832	993	199
833	994	197
834	995	196
835	998	195
836	1000	194
837	1001	193
838	1002	192
839	1003	191
840	1004	189
841	1005	188
842	1006	187
843	1006	186
844	1007	184
845	1008	183
846	1009	182
847	1009	181
848	1010	179
849	1012	178
850	1013	177
851	1015	176
852	1016	175
853	1017	174
854	1019	172
855	1020	171
856	1021	170
857	1022	169
858	1023	167
859	1024	166
860	1025	165
861	1026	164
862	1027	163
863	1029	162
864	1030	160
865	1031	159
866	1032	158
867	1033	157
868	1034	156
869	1035	154
870	1036	153
871	1037	152
872	1038	151
873	1038	149
874	1039	148
875	1040	147
876	1042	146
877	1043	144
878	1044	143
879	1044	142
880	1045	141
881	1046	139
882	1047	138
883	1047	137
884	1048	136
885	1049	135
886	1050	133
887	1050	132
888	1051	131
889	1052	130
890	1053	128
891	1054	127
892	1055	126
893	1057	125
894	1058	124
895	1059	123
896	1060	121
897	1061	120
898	1062	119
899	1063	118
900	1064	116
901	1065	115
902	1065	114
903	1066	113
904	1067	112
905	1068	110
906	1069	109
907	1070	108
908	1071	107
909	1072	106
910	1073	104
911	1074	103
912	1074	102
913	1075	101
914	1076	100
915	1077	98
916	1078	97
917	1078	96
918	1079	95
919	1080	93
920	1081	92
921	1081	91
922	1082	90
923	1083	89
924	1085	88
925	1086	86
926	1087	85
927	1088	84
928	1089	83
929	1090	82
930	1091	80
931	1091	79
932	1092	78
933	1093	77
934	1094	76
935	1094	74
936	1095	73
937	1096	72
938	1097	71
939	1098	70
940	1099	68
941	1101	67
942	1102	66
943	1102	65
944	1103	64
945	1104	63
946	1105	61
947	1105	60
948	1106	59
949	1107	58
950	1108	57
951	1109	55
952	1109	54
953	1110	53
954	1111	52
955	1112	51
956	1112	50
957	1114	48
958	1115	47
959	1116	46
960	1117	45
961	1119	44
962	1120	43
963	1120	41
964	1121	40
965	1122	39
966	1123	38
967	1123	37
968	1124	35
969	1125	34
970	1126	33
971	1127	32
972	1127	31
973	1129	30
974	1130	28
975	1130	27
976	1131	26
977	1132	25
978	1133	24
979	1133	23
980	1134	21
981	1135	20
982	1136	19
983	1137	18
984	1138	17
985	1138	16
986	1139	15
987	1140	13
988	1141	12
989	1142	11
990	1143	10
991	1144	9
992	1145	8
993	1145	6
994	1146	5
995	1147	4
996	1148	3
997	1148	2
998	1149	1
999	1150	0
